,Names,Profile URLs
64,Sule Akkoyunlu,https://pureportal.coventry.ac.uk/en/persons/sule-akkoyunlu/publications/
65,George Akomas,https://pureportal.coventry.ac.uk/en/persons/george-akomas/publications/
66,Ebenezer Akore Yeboah,https://pureportal.coventry.ac.uk/en/persons/ebenezer-akore-yeboah/publications/
67,Daniel Akpan,https://pureportal.coventry.ac.uk/en/persons/daniel-akpan/publications/
68,Michail Akritidis,https://pureportal.coventry.ac.uk/en/persons/michail-akritidis/publications/
69,NANA Akuoko,https://pureportal.coventry.ac.uk/en/persons/nana-akuoko/publications/
70,Shahzad Alam,https://pureportal.coventry.ac.uk/en/persons/shahzad-alam/publications/
71,Lara Alamad,https://pureportal.coventry.ac.uk/en/persons/lara-alamad/publications/
72,Samir Alamad,https://pureportal.coventry.ac.uk/en/persons/samir-alamad/publications/
73,Saif Faris Ahmad Alatrash,https://pureportal.coventry.ac.uk/en/persons/saif-faris-ahmad-alatrash/publications/
74,Khalid Ali Ahmad Mohammed Alawar,https://pureportal.coventry.ac.uk/en/persons/khalid-ali-ahmad-mohammed-alawar/publications/
75,Manal A I Al Badawi Hashaykeh,https://pureportal.coventry.ac.uk/en/persons/manal-a-i-al-badawi-hashaykeh/publications/
76,Nahla Juma Khamis Al Balushi,https://pureportal.coventry.ac.uk/en/persons/nahla-juma-khamis-al-balushi/publications/
77,Ammar Al Bazi,https://pureportal.coventry.ac.uk/en/persons/ammar-al-bazi/publications/
78,Amna Mohammad Hassan Ibrahim Alblooshi,https://pureportal.coventry.ac.uk/en/persons/amna-mohammad-hassan-ibrahim-alblooshi/publications/
79,Reda Al-Bodour,https://pureportal.coventry.ac.uk/en/persons/reda-al-bodour/publications/
80,Tim Aldsworth,https://pureportal.coventry.ac.uk/en/persons/tim-aldsworth/publications/
81,Svetlana Aleksandrova,https://pureportal.coventry.ac.uk/en/persons/svetlana-aleksandrova/publications/
82,Haitham Alfannah,https://pureportal.coventry.ac.uk/en/persons/haitham-alfannah/publications/
83,Kholoud Mashour S Al Garni,https://pureportal.coventry.ac.uk/en/persons/kholoud-mashour-s-al-garni/publications/
84,Salem Alhababsah,https://pureportal.coventry.ac.uk/en/persons/salem-alhababsah/publications/
85,Alaa Alhaj Ismail,https://pureportal.coventry.ac.uk/en/persons/alaa-alhaj-ismail/publications/
86,Almajd Al Hinai,https://pureportal.coventry.ac.uk/en/persons/almajd-al-hinai/publications/
87,Hatem Ali,https://pureportal.coventry.ac.uk/en/persons/hatem-ali/publications/
88,Mustafa Ali,https://pureportal.coventry.ac.uk/en/persons/mustafa-ali/publications/
89,Rashid Ali,https://pureportal.coventry.ac.uk/en/persons/rashid-ali/publications/
90,Reza Ali,https://pureportal.coventry.ac.uk/en/persons/reza-ali/publications/
91,Taher Mabkhut Ali Al Junaibi,https://pureportal.coventry.ac.uk/en/persons/taher-mabkhut-ali-al-junaibi/publications/
92,Mabel Alkali,https://pureportal.coventry.ac.uk/en/persons/mabel-alkali/publications/
93,Ibrahim Alkhataybeh,https://pureportal.coventry.ac.uk/en/persons/ibrahim-alkhataybeh/publications/
94,Khaled Al Khudir,https://pureportal.coventry.ac.uk/en/persons/khaled-al-khudir/publications/
95,Dominic Thomas Allan,https://pureportal.coventry.ac.uk/en/persons/dominic-thomas-allan/publications/
96,John Allen,https://pureportal.coventry.ac.uk/en/persons/john-allen/publications/
97,Ashraf Al Mamari,https://pureportal.coventry.ac.uk/en/persons/ashraf-al-mamari/publications/
98,Sayeda Mubarak Ali Mubarak Almansoori,https://pureportal.coventry.ac.uk/en/persons/sayeda-mubarak-ali-mubarak-almansoori/publications/
99,Khulood Almarzooqi,https://pureportal.coventry.ac.uk/en/persons/khulood-almarzooqi/publications/
100,Suhaib Almarzooqi,https://pureportal.coventry.ac.uk/en/persons/suhaib-almarzooqi/publications/
101,Jamal Al Masrouri,https://pureportal.coventry.ac.uk/en/persons/jamal-al-masrouri/publications/
102,Bader Mohammed Saif Mohammed Almentheri,https://pureportal.coventry.ac.uk/en/persons/bader-mohammed-saif-mohammed-almentheri/publications/
103,Abdulla Rashed Sultan Bin Qaba Almheiri,https://pureportal.coventry.ac.uk/en/persons/abdulla-rashed-sultan-bin-qaba-almheiri/publications/
104,Tariq Al Montaser,https://pureportal.coventry.ac.uk/en/persons/tariq-al-montaser/publications/
105,Eman Abdulla Abdulrahman Abdulrahim Almulla,https://pureportal.coventry.ac.uk/en/persons/eman-abdulla-abdulrahman-abdulrahim-almulla/publications/
106,"Mansour Qubeissi, SFHEA",https://pureportal.coventry.ac.uk/en/persons/m-al-qubeissi/publications/
107,Mazin Mahmood Ahmed Al Raisi,https://pureportal.coventry.ac.uk/en/persons/mazin-mahmood-ahmed-al-raisi/publications/
108,Yahya Mohammed Zahran Al Rawahi,https://pureportal.coventry.ac.uk/en/persons/yahya-mohammed-zahran-al-rawahi/publications/
109,Mohammad A M A H A A Alrefae,https://pureportal.coventry.ac.uk/en/persons/mohammad-a-m-a-h-a-a-alrefae/publications/
110,Loai Alsaid,https://pureportal.coventry.ac.uk/en/persons/loai-alsaid/publications/
111,Farah Al-sallami,https://pureportal.coventry.ac.uk/en/persons/farah-al-sallami/publications/
112,Sian Alsop,https://pureportal.coventry.ac.uk/en/persons/sian-alsop/publications/
113,Marwan Alssadek,https://pureportal.coventry.ac.uk/en/persons/marwan-alssadek/publications/
114,Abdulrahman Al-Surmi,https://pureportal.coventry.ac.uk/en/persons/abdulrahman-al-surmi/publications/
115,Wafaa Al-Tameemi,https://pureportal.coventry.ac.uk/en/persons/wafaa-al-tameemi/publications/
116,Faisal Ali Al Yahyaee,https://pureportal.coventry.ac.uk/en/persons/faisal-ali-al-yahyaee/publications/
117,Sultan Saeed Ali Amer Al Zaidi,https://pureportal.coventry.ac.uk/en/persons/sultan-saeed-ali-amer-al-zaidi/publications/
118,Eric Nkemdirim Sunny Amaechi,https://pureportal.coventry.ac.uk/en/persons/eric-amaechi/publications/
119,Albert Amagyei,https://pureportal.coventry.ac.uk/en/persons/albert-amagyei/publications/
120,Ajuma Amanyi-Enegela,https://pureportal.coventry.ac.uk/en/persons/ajuma-amanyi-enegela/publications/
121,Misbah Ameen-Khan,https://pureportal.coventry.ac.uk/en/persons/misbah-ameen-khan-2/publications/
122,Mohamed Farouk Sayed Moursy Amer,https://pureportal.coventry.ac.uk/en/persons/mohamed-farouk-sayed-moursy-amer/publications/
123,Taz Amietszajew,https://pureportal.coventry.ac.uk/en/persons/taz-amietszajew/publications/
124,Shohel Amin,https://pureportal.coventry.ac.uk/en/persons/shohel-amin/publications/
125,Abraham Mainaji Amlogu,https://pureportal.coventry.ac.uk/en/persons/abraham-mainaji-amlogu/publications/
126,Isaac Amoako,https://pureportal.coventry.ac.uk/en/persons/isaac-amoako/publications/
127,Christabell Amoakoh,https://pureportal.coventry.ac.uk/en/persons/christabell-amoakoh/publications/
128,Angy Amofa,https://pureportal.coventry.ac.uk/en/persons/angy-amofa/publications/
129,Daniel Amund,https://pureportal.coventry.ac.uk/en/persons/daniel-amund/publications/
130,Abdullateef Amusa,https://pureportal.coventry.ac.uk/en/persons/abdullateef-amusa/publications/
131,"Jessica An, PhD",https://pureportal.coventry.ac.uk/en/persons/xiaojue-an/publications/
132,Kusha Anand,https://pureportal.coventry.ac.uk/en/persons/kusha-anand/publications/
133,Sunil Anandatheertha,https://pureportal.coventry.ac.uk/en/persons/sunil-anandatheertha/publications/
134,Rachid Anane,https://pureportal.coventry.ac.uk/en/persons/rachid-anane/publications/
135,Ragunath Anantharasa,https://pureportal.coventry.ac.uk/en/persons/ragunath-anantharasa/publications/
136,A Anbalagan,https://pureportal.coventry.ac.uk/en/persons/a-anbalagan/publications/
137,Colin Anderson,https://pureportal.coventry.ac.uk/en/persons/colin-anderson/publications/
138,Daniel Anderson,https://pureportal.coventry.ac.uk/en/persons/daniel-anderson-2/publications/
139,Panagiotis Andrikopoulos,https://pureportal.coventry.ac.uk/en/persons/panagiotis-andrikopoulos/publications/
140,Dimitar Angelov,https://pureportal.coventry.ac.uk/en/persons/dimitar-angelov/publications/
141,Christopher Aniche,https://pureportal.coventry.ac.uk/en/persons/christopher-aniche/publications/
142,Babatunde Anifowose,https://pureportal.coventry.ac.uk/en/persons/babatunde-anifowose/publications/
143,Sara Anisi,https://pureportal.coventry.ac.uk/en/persons/sara-anisi/publications/
144,Soraya Anisi,https://pureportal.coventry.ac.uk/en/persons/soraya-anisi/publications/
145,Nancy Annan,https://pureportal.coventry.ac.uk/en/persons/nancy-annan-2/publications/
146,Ihechiluru Fortune Chinatu Anya,https://pureportal.coventry.ac.uk/en/persons/ihechiluru-fortune-chinatu-anya/publications/
147,Gogo Anyanwu,https://pureportal.coventry.ac.uk/en/persons/gogo-anyanwu/publications/
148,Lucy Aphramor,https://pureportal.coventry.ac.uk/en/persons/lucy-aphramor/publications/
149,Evangelos Symeon Apostolopoulos,https://pureportal.coventry.ac.uk/en/persons/evangelos-symeon-apostolopoulos/publications/
150,Lindsey Appleyard,https://pureportal.coventry.ac.uk/en/persons/lindsey-appleyard/publications/
151,Steve Apter,https://pureportal.coventry.ac.uk/en/persons/steve-apter/publications/
152,Ana Carolina Araujo Lascano,https://pureportal.coventry.ac.uk/en/persons/ana-carolina-araujo-lascano/publications/
153,Oussama Arbouche,https://pureportal.coventry.ac.uk/en/persons/oussama-arbouche/publications/
154,Deji Aremu,https://pureportal.coventry.ac.uk/en/persons/deji-aremu/publications/
155,Balaji Aresh,https://pureportal.coventry.ac.uk/en/persons/balaji-aresh/publications/
156,Cristian Ryan Argamino,https://pureportal.coventry.ac.uk/en/persons/cristian-ryan-argamino/publications/
157,Yudhi Ariadi,https://pureportal.coventry.ac.uk/en/persons/yudhi-ariadi/publications/
158,Kiev Ariza,https://pureportal.coventry.ac.uk/en/persons/kiev-ariza/publications/
159,Anthony Armstrong,https://pureportal.coventry.ac.uk/en/persons/anthony-armstrong/publications/
160,Dawn Armstrong,https://pureportal.coventry.ac.uk/en/persons/dawn-armstrong/publications/
161,Sylvester Arnab,https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab/publications/
162,Sara Arouch,https://pureportal.coventry.ac.uk/en/persons/sara-arouch/publications/
163,Muhammad Arshad,https://pureportal.coventry.ac.uk/en/persons/muhammad-arshad/publications/
164,John Arvanitakis,https://pureportal.coventry.ac.uk/en/persons/john-arvanitakis/publications/
165,Ken Asare,https://pureportal.coventry.ac.uk/en/persons/ken-asare/publications/
166,Mike Ashford,https://pureportal.coventry.ac.uk/en/persons/mike-ashford/publications/
167,Folajimi Ashiru,https://pureportal.coventry.ac.uk/en/persons/folajimi-ashiru/publications/
168,Craig Ashley,https://pureportal.coventry.ac.uk/en/persons/craig-ashley/publications/
169,Patricia Ashman,https://pureportal.coventry.ac.uk/en/persons/patricia-ashman/publications/
170,Rjaa Jawad Ashraf,https://pureportal.coventry.ac.uk/en/persons/rjaa-jawad-ashraf/publications/
171,Adnan Aslam,https://pureportal.coventry.ac.uk/en/persons/adnan-aslam/publications/
172,Farzana Aslam,https://pureportal.coventry.ac.uk/en/persons/farzana-aslam/publications/
173,Hussan Aslam,https://pureportal.coventry.ac.uk/en/persons/hussan-aslam/publications/
174,Muhammad Aslam,https://pureportal.coventry.ac.uk/en/persons/muhammad-aslam-2/publications/
175,Mujahid Asmal-Lee,https://pureportal.coventry.ac.uk/en/persons/mujahid-asmal-lee/publications/
176,Richard Aspinall,https://pureportal.coventry.ac.uk/en/persons/richard-aspinall/publications/
177,Rudolph Asumda,https://pureportal.coventry.ac.uk/en/persons/rudolph-asumda/publications/
178,Taufiq Asyhari,https://pureportal.coventry.ac.uk/en/persons/taufiq-asyhari/publications/
179,Christopher Atkin,https://pureportal.coventry.ac.uk/en/persons/christopher-atkin/publications/
180,Kay Leanne Atkin,https://pureportal.coventry.ac.uk/en/persons/kay-leanne-atkin/publications/
181,Samantha Atkins,https://pureportal.coventry.ac.uk/en/persons/samantha-atkins/publications/
182,Nina Atkinson,https://pureportal.coventry.ac.uk/en/persons/nina-atkinson/publications/
183,Shalika Atlas,https://pureportal.coventry.ac.uk/en/persons/shalika-atlas/publications/
184,Dr. Emmanuel Audu,https://pureportal.coventry.ac.uk/en/persons/dr-emmanuel-audu/publications/
185,Vani Aul,https://pureportal.coventry.ac.uk/en/persons/vani-aul/publications/
186,Kristin Aune,https://pureportal.coventry.ac.uk/en/persons/kristin-aune/publications/
187,Elicia Austin,https://pureportal.coventry.ac.uk/en/persons/elicia-austin/publications/
188,Stephen Austin,https://pureportal.coventry.ac.uk/en/persons/stephen-austin/publications/
189,Melissa Avdeeff,https://pureportal.coventry.ac.uk/en/persons/melissa-avdeeff/publications/
190,Simone Salvatore Aveni,https://pureportal.coventry.ac.uk/en/persons/simone-salvatore-aveni/publications/
191,Eddy Awire,https://pureportal.coventry.ac.uk/en/persons/eddy-awire/publications/
192,Mark Axon,https://pureportal.coventry.ac.uk/en/persons/mark-axon/publications/
193,Haseeb Ayaz,https://pureportal.coventry.ac.uk/en/persons/haseeb-ayaz/publications/
194,Rami Ayoubi,https://pureportal.coventry.ac.uk/en/persons/rami-ayoubi/publications/
195,Hoor Ayub,https://pureportal.coventry.ac.uk/en/persons/hoor-ayub/publications/
196,Evronia Azer,https://pureportal.coventry.ac.uk/en/persons/evronia-azer/publications/
197,Farzaneh Azizsafaei,https://pureportal.coventry.ac.uk/en/persons/farzaneh-azizsafaei/publications/
198,Maryam Azizsafaei,https://pureportal.coventry.ac.uk/en/persons/maryam-azizsafaei/publications/
199,Muhammad Azizuddin,https://pureportal.coventry.ac.uk/en/persons/muhammad-azizuddin/publications/
200,Zaneta Azuma,https://pureportal.coventry.ac.uk/en/persons/zaneta-azuma/publications/
201,Fahd Azzouz,https://pureportal.coventry.ac.uk/en/persons/fahd-azzouz/publications/
202,Nathaniel Babajide,https://pureportal.coventry.ac.uk/en/persons/nathaniel-babajide/publications/
203,Gbolahan Olusegun Babalola,https://pureportal.coventry.ac.uk/en/persons/gbolahan-olusegun-babalola/publications/
204,Abiola Babatunde,https://pureportal.coventry.ac.uk/en/persons/abiola-babatunde/publications/
205,Stacey Babington,https://pureportal.coventry.ac.uk/en/persons/stacey-babington/publications/
206,Echekwumemchukwu Emmanuel Badifu,https://pureportal.coventry.ac.uk/en/persons/echekwumemchukwu-emmanuel-badifu/publications/
207,Meghdad Bagheri,https://pureportal.coventry.ac.uk/en/persons/meghdad-bagheri/publications/
208,Nim Bahia,https://pureportal.coventry.ac.uk/en/persons/nim-bahia/publications/
209,Witold Bahr,https://pureportal.coventry.ac.uk/en/persons/witold-bahr/publications/
210,Mingwen Bai,https://pureportal.coventry.ac.uk/en/persons/mingwen-bai/publications/
211,Anthony Bailey,https://pureportal.coventry.ac.uk/en/persons/anthony-bailey/publications/
212,Elizabeth Bailey,https://pureportal.coventry.ac.uk/en/persons/elizabeth-bailey/publications/
213,Jessica Bailey,https://pureportal.coventry.ac.uk/en/persons/jessica-bailey/publications/
214,Narinder Bains,https://pureportal.coventry.ac.uk/en/persons/narinder-bains/publications/
215,Stuart Baird,https://pureportal.coventry.ac.uk/en/persons/stuart-baird/publications/
216,Ali Alperen Bakir,https://pureportal.coventry.ac.uk/en/persons/ali-alperen-bakir/publications/
217,Ken Baldwin,https://pureportal.coventry.ac.uk/en/persons/ken-baldwin/publications/
218,Laurence J Baldwin,https://pureportal.coventry.ac.uk/en/persons/laurence-j-baldwin/publications/
219,Lindsay Balfour,https://pureportal.coventry.ac.uk/en/persons/lindsay-balfour/publications/
220,Viktorija Baliukonyte,https://pureportal.coventry.ac.uk/en/persons/viktorija-baliukonyte/publications/
221,Jane Ball,https://pureportal.coventry.ac.uk/en/persons/jane-ball/publications/
222,Kirstie Ball,https://pureportal.coventry.ac.uk/en/persons/kirstie-ball-2/publications/
223,Pamela Ball,https://pureportal.coventry.ac.uk/en/persons/pamela-ball/publications/
224,Brandon Ballard,https://pureportal.coventry.ac.uk/en/persons/brandon-ballard/publications/
225,Robert Henry Bamberger,https://pureportal.coventry.ac.uk/en/persons/robert-henry-bamberger/publications/
226,Daniel Babalola Bammeke,https://pureportal.coventry.ac.uk/en/persons/daniel-babalola-bammeke/publications/
227,Shadi Bani Hani,https://pureportal.coventry.ac.uk/en/persons/shadi-bani-hani/publications/
228,Tricia Banks,https://pureportal.coventry.ac.uk/en/persons/tricia-banks/publications/
229,Frano Barbic,https://pureportal.coventry.ac.uk/en/persons/frano-barbic/publications/
230,Adriana Da Barbosa,https://pureportal.coventry.ac.uk/en/persons/adriana-da-barbosa/publications/
231,Vicky Barclay,https://pureportal.coventry.ac.uk/en/persons/vicky-barclay-2/publications/
232,Victoria Barker,https://pureportal.coventry.ac.uk/en/persons/victoria-barker-2/publications/
233,Rashid Barket,https://pureportal.coventry.ac.uk/en/persons/rashid-barket/publications/
234,Jacoba Magdelena Barnard,https://pureportal.coventry.ac.uk/en/persons/jacoba-magdelena-barnard/publications/
235,Jennifer Barnes,https://pureportal.coventry.ac.uk/en/persons/jennifer-barnes-hill/publications/
236,Kate Barnett-Richards,https://pureportal.coventry.ac.uk/en/persons/kate-barnett-richards-2/publications/
237,Stephen Barrell,https://pureportal.coventry.ac.uk/en/persons/stephen-barrell/publications/
238,Humberto Barrera Jimenez,https://pureportal.coventry.ac.uk/en/persons/humberto-barrera-jimenez/publications/
239,Hazel Barrett,https://pureportal.coventry.ac.uk/en/persons/hazel-barrett/publications/
240,Lorraine Barron,https://pureportal.coventry.ac.uk/en/persons/lorraine-barron/publications/
241,Nicole Basaraba,https://pureportal.coventry.ac.uk/en/persons/nicole-basaraba/publications/
242,Bahar Baser Ozturk,https://pureportal.coventry.ac.uk/en/persons/bahar-baser-ozturk/publications/
243,Mahdi Bashiri,https://pureportal.coventry.ac.uk/en/persons/mahdi-bashiri/publications/
244,Muhammad Lahandi Baskoro,https://pureportal.coventry.ac.uk/en/persons/muhammad-lahandi-baskoro/publications/
245,Tom Bason,https://pureportal.coventry.ac.uk/en/persons/tom-bason/publications/
246,Tina Bass,https://pureportal.coventry.ac.uk/en/persons/tina-bass/publications/
247,Matt Bassett,https://pureportal.coventry.ac.uk/en/persons/matt-bassett/publications/
248,Enobong Bassey,https://pureportal.coventry.ac.uk/en/persons/enobong-bassey/publications/
249,Christophe Bastien,https://pureportal.coventry.ac.uk/en/persons/christophe-bastien/publications/
250,Richard Bateman,https://pureportal.coventry.ac.uk/en/persons/richard-bateman/publications/
251,Ian Bates,https://pureportal.coventry.ac.uk/en/persons/ian-bates/publications/
252,Felix Batsch,https://pureportal.coventry.ac.uk/en/persons/felix-batsch/publications/
253,Jhonny Ismael Bautista Quispe,https://pureportal.coventry.ac.uk/en/persons/jhonny-ismael-bautista-quispe/publications/
254,Imogen Bayfield,https://pureportal.coventry.ac.uk/en/persons/imogen-bayfield/publications/
255,Balki Begumhan Bayhan,https://pureportal.coventry.ac.uk/en/persons/balki-begumhan-bayhan/publications/
256,Lisa Bayliss-Pratt,https://pureportal.coventry.ac.uk/en/persons/lisa-bayliss-pratt/publications/
257,Amr Bayoumy,https://pureportal.coventry.ac.uk/en/persons/amr-bayoumy/publications/
258,Marcus Beale,https://pureportal.coventry.ac.uk/en/persons/marcus-beale/publications/
259,David Beauchamp,https://pureportal.coventry.ac.uk/en/persons/david-beauchamp/publications/
260,Jayne Beaufoy,https://pureportal.coventry.ac.uk/en/persons/jayne-beaufoy-2/publications/
261,Martin Beck,https://pureportal.coventry.ac.uk/en/persons/martin-beck/publications/
262,Rebecca Beech,https://pureportal.coventry.ac.uk/en/persons/rebecca-beech-3/publications/
263,Ty Beetseh,https://pureportal.coventry.ac.uk/en/persons/ty-beetseh/publications/
264,Jason Begley,https://pureportal.coventry.ac.uk/en/persons/jason-begley/publications/
265,David Bek,https://pureportal.coventry.ac.uk/en/persons/david-bek/publications/
266,Fatima Zohra Souad Belalem,https://pureportal.coventry.ac.uk/en/persons/fatima-zohra-belalem/publications/
267,Jaliyyah Bello,https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello/publications/
268,Macarena Beltran,https://pureportal.coventry.ac.uk/en/persons/macarena-beltran/publications/
269,Omar Benabdel Jalil,https://pureportal.coventry.ac.uk/en/persons/omar-benabdel-jalil/publications/
270,Elizabeth Benjamin,https://pureportal.coventry.ac.uk/en/persons/elizabeth-benjamin/publications/
271,Stephen Benjamin,https://pureportal.coventry.ac.uk/en/persons/stephen-benjamin/publications/
272,Fatma Benkhelifa,https://pureportal.coventry.ac.uk/en/persons/fatma-benkhelifa/publications/
273,James Bennett,https://pureportal.coventry.ac.uk/en/persons/james-bennett/publications/
274,Matthew Bennett,https://pureportal.coventry.ac.uk/en/persons/matthew-bennett/publications/
275,Jobin Bennykutty,https://pureportal.coventry.ac.uk/en/persons/jobin-bennykutty/publications/
276,Kamal Bentahar,https://pureportal.coventry.ac.uk/en/persons/kamal-bentahar/publications/
277,Ikram Berkani,https://pureportal.coventry.ac.uk/en/persons/ikram-berkani/publications/
278,Nigel Berkeley,https://pureportal.coventry.ac.uk/en/persons/nigel-berkeley/publications/
279,Darren Berkland,https://pureportal.coventry.ac.uk/en/persons/darren-berkland/publications/
280,Eryn Berman-Roberts,https://pureportal.coventry.ac.uk/en/persons/eryn-berman-roberts/publications/
281,Ishak Berrebbah,https://pureportal.coventry.ac.uk/en/persons/ishak-berrebbah/publications/
